TimeStamp,SourceIp,DestinationIP,SourcePort,DestinationPort,Protocol,No_of_forward_packets,No_of_backward_packets,total_forward_packets_length,total_backward_packets_length,Max_forward_packet_length,Min_forward_packet_length,Max_backward_packet_length,Min_backward_packet_length,Mean_forward_packet_length,Mean_backward_packet_lenght,Flow_duration,Inter_arrival_time,Mean_inter_arrival_time,Rev_Flag,CWE_Flag,ECE_Flag,URG_Flag,ACK_Flag,PSH_Flag,RST_Flag,SYN_Flag,FIN_Flag,FTPFlag,SSHFlag,Label
24/03/2024 23:12:46.003600, 192.168.113.49, 192.168.113.43,21,56284,6,9,15,572,976,69,52,86,0,65.06666666666666,63.55555555555556,8.9798,8.979800000000001,0.37415833333333337,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:46.013700, 192.168.113.43, 192.168.113.49,56284,21,6,2,0,121,0,69,52,0,0,60.5,0,0.0,0.0,0.0,0,0,0,0,2,1,0,0,1,False,False,Benign
24/03/2024 23:12:46.082200, 192.168.113.49, 192.168.113.43,21,56298,6,9,15,572,976,69,52,86,0,65.06666666666666,63.55555555555556,8.9535,8.954099999999999,0.37308749999999996,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:46.111300, 192.168.113.49, 192.168.113.43,21,56290,6,9,15,578,976,69,52,86,0,65.06666666666666,64.22222222222223,9.007,9.007599999999998,0.3753166666666666,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:46.117600, 192.168.113.43, 192.168.113.49,56290,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0007,0.0007,0.00023333333333333333,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:46.161400, 192.168.113.49, 192.168.113.43,21,56308,6,9,15,581,976,70,52,86,0,65.06666666666666,64.55555555555556,9.0117,9.011700000000001,0.37548750000000003,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:46.163800, 192.168.113.43, 192.168.113.49,56308,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0,0.0002,6.666666666666667e-05,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:46.203500, 192.168.113.49, 192.168.113.43,21,56314,6,9,15,581,976,70,52,86,0,65.06666666666666,64.55555555555556,9.0249,9.024899999999999,0.37603749999999997,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:46.209000, 192.168.113.43, 192.168.113.49,56314,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0,0.0002,6.666666666666667e-05,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:46.281500, 192.168.113.49, 192.168.113.43,21,56348,6,9,15,581,976,70,52,86,0,65.06666666666666,64.55555555555556,9.1013,9.1013,0.37922083333333334,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:46.284400, 192.168.113.43, 192.168.113.49,56348,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0005,0.0005,0.00016666666666666666,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:46.285500, 192.168.113.49, 192.168.113.43,21,56332,6,9,15,581,976,70,52,86,0,65.06666666666666,64.55555555555556,9.1064,9.106399999999999,0.3794333333333333,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:46.334400, 192.168.113.49, 192.168.113.43,21,56312,6,9,15,572,976,69,52,86,0,65.06666666666666,63.55555555555556,9.1558,9.1558,0.3814916666666666,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:45.831900, 2402, 64,49664,443,17,1,1,0,0,0,0,0,0,0.0,0.0,1.6017,1.6017,0.80085,0,0,0,0,0,0,0,0,0,False,False,Benign
24/03/2024 23:12:46.337100, 192.168.113.43, 192.168.113.49,56312,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0007,0.0007,0.00023333333333333333,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:53.998900, 192.168.113.49, 192.168.113.43,21,56366,6,9,15,572,976,69,52,86,0,65.06666666666666,63.55555555555556,8.7169,8.7177,0.36323750000000005,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
24/03/2024 23:12:54.003700, 192.168.113.43, 192.168.113.49,56366,21,6,2,1,121,40,69,52,40,0,60.5,40.0,0.0008,0.0008,0.0002666666666666667,0,0,0,0,2,1,1,0,1,False,False,Benign
24/03/2024 23:12:54.031500, 192.168.113.49, 192.168.113.43,21,56354,6,9,15,598,976,79,52,86,0,65.06666666666666,66.44444444444444,8.792,8.7924,0.36635,0,0,0,0,23,13,0,2,1,True,False,FTP-Brute-Force
